People & Body
👋,wave
🤚,raised_back_of_hand
🖐️,raised_hand_with_fingers_splayed
✋,hand,raised_hand
🖖,vulcan_salute
🫱,rightwards_hand
🫲,leftwards_hand
🫳,palm_down_hand
🫴,palm_up_hand
🫷,leftwards_pushing_hand
🫸,rightwards_pushing_hand
👌,ok_hand
🤌,pinched_fingers
🤏,pinching_hand
✌️,v
🤞,crossed_fingers
🫰,hand_with_index_finger_and_thumb_crossed
🤟,love_you_gesture
🤘,metal
🤙,call_me_hand
👈,point_left
👉,point_right
👆,point_up_2
🖕,middle_finger,fu
👇,point_down
☝️,point_up
🫵,index_pointing_at_the_viewer
👍,+1,thumbsup
👎,-1,thumbsdown
✊,fist_raised,fist
👊,fist_oncoming,facepunch,punch
🤛,fist_left
🤜,fist_right
👏,clap
🙌,raised_hands
🫶,heart_hands
👐,open_hands
🤲,palms_up_together
🤝,handshake
🙏,pray
✍️,writing_hand
💅,nail_care
🤳,selfie
💪,muscle
🦾,mechanical_arm
🦿,mechanical_leg
🦵,leg
🦶,foot
👂,ear
🦻,ear_with_hearing_aid
👃,nose
🧠,brain
🫀,anatomical_heart
🫁,lungs
🦷,tooth
🦴,bone
👀,eyes
👁️,eye
👅,tongue
👄,lips
🫦,biting_lip
👶,baby
🧒,child
👦,boy
👧,girl
🧑,adult
👱,blond_haired_person
👨,man
🧔,bearded_person
🧔‍♂️,man_beard
🧔‍♀️,woman_beard
👨‍🦰,red_haired_man
👨‍🦱,curly_haired_man
👨‍🦳,white_haired_man
👨‍🦲,bald_man
👩,woman
👩‍🦰,red_haired_woman
🧑‍🦰,person_red_hair
👩‍🦱,curly_haired_woman
🧑‍🦱,person_curly_hair
👩‍🦳,white_haired_woman
🧑‍🦳,person_white_hair
👩‍🦲,bald_woman
🧑‍🦲,person_bald
👱‍♀️,blond_haired_woman,blonde_woman
👱‍♂️,blond_haired_man
🧓,older_adult
👴,older_man
👵,older_woman
🙍,frowning_person
🙍‍♂️,frowning_man
🙍‍♀️,frowning_woman
🙎,pouting_face
🙎‍♂️,pouting_man
🙎‍♀️,pouting_woman
🙅,no_good
🙅‍♂️,no_good_man,ng_man
🙅‍♀️,no_good_woman,ng_woman
🙆,ok_person
🙆‍♂️,ok_man
🙆‍♀️,ok_woman
💁,tipping_hand_person,information_desk_person
💁‍♂️,tipping_hand_man,sassy_man
💁‍♀️,tipping_hand_woman,sassy_woman
🙋,raising_hand
🙋‍♂️,raising_hand_man
🙋‍♀️,raising_hand_woman
🧏,deaf_person
🧏‍♂️,deaf_man
🧏‍♀️,deaf_woman
🙇,bow
🙇‍♂️,bowing_man
🙇‍♀️,bowing_woman
🤦,facepalm
🤦‍♂️,man_facepalming
🤦‍♀️,woman_facepalming
🤷,shrug
🤷‍♂️,man_shrugging
🤷‍♀️,woman_shrugging
🧑‍⚕️,health_worker
👨‍⚕️,man_health_worker
👩‍⚕️,woman_health_worker
🧑‍🎓,student
👨‍🎓,man_student
👩‍🎓,woman_student
🧑‍🏫,teacher
👨‍🏫,man_teacher
👩‍🏫,woman_teacher
🧑‍⚖️,judge
👨‍⚖️,man_judge
👩‍⚖️,woman_judge
🧑‍🌾,farmer
👨‍🌾,man_farmer
👩‍🌾,woman_farmer
🧑‍🍳,cook
👨‍🍳,man_cook
👩‍🍳,woman_cook
🧑‍🔧,mechanic
👨‍🔧,man_mechanic
👩‍🔧,woman_mechanic
🧑‍🏭,factory_worker
👨‍🏭,man_factory_worker
👩‍🏭,woman_factory_worker
🧑‍💼,office_worker
👨‍💼,man_office_worker
👩‍💼,woman_office_worker
🧑‍🔬,scientist
👨‍🔬,man_scientist
👩‍🔬,woman_scientist
🧑‍💻,technologist
👨‍💻,man_technologist
👩‍💻,woman_technologist
🧑‍🎤,singer
👨‍🎤,man_singer
👩‍🎤,woman_singer
🧑‍🎨,artist
👨‍🎨,man_artist
👩‍🎨,woman_artist
🧑‍✈️,pilot
👨‍✈️,man_pilot
👩‍✈️,woman_pilot
🧑‍🚀,astronaut
👨‍🚀,man_astronaut
👩‍🚀,woman_astronaut
🧑‍🚒,firefighter
👨‍🚒,man_firefighter
👩‍🚒,woman_firefighter
👮,police_officer,cop
👮‍♂️,policeman
👮‍♀️,policewoman
🕵️,detective
🕵️‍♂️,male_detective
🕵️‍♀️,female_detective
💂,guard
💂‍♂️,guardsman
💂‍♀️,guardswoman
🥷,ninja
👷,construction_worker
👷‍♂️,construction_worker_man
👷‍♀️,construction_worker_woman
🫅,person_with_crown
🤴,prince
👸,princess
👳,person_with_turban
👳‍♂️,man_with_turban
👳‍♀️,woman_with_turban
👲,man_with_gua_pi_mao
🧕,woman_with_headscarf
🤵,person_in_tuxedo
🤵‍♂️,man_in_tuxedo
🤵‍♀️,woman_in_tuxedo
👰,person_with_veil
👰‍♂️,man_with_veil
👰‍♀️,woman_with_veil,bride_with_veil
🤰,pregnant_woman
🫃,pregnant_man
🫄,pregnant_person
🤱,breast_feeding
👩‍🍼,woman_feeding_baby
👨‍🍼,man_feeding_baby
🧑‍🍼,person_feeding_baby
👼,angel
🎅,santa
🤶,mrs_claus
🧑‍🎄,mx_claus
🦸,superhero
🦸‍♂️,superhero_man
🦸‍♀️,superhero_woman
🦹,supervillain
